,name,time,month,day,hourly_temperature,hourly_wind_speed
0,"LA GUARDIA AIRPORT, NY US",01,01,01,1.4,5.6
1,"LA GUARDIA AIRPORT, NY US",02,01,01,1.2,5.6
2,"LA GUARDIA AIRPORT, NY US",03,01,01,1.1,5.5
3,"LA GUARDIA AIRPORT, NY US",04,01,01,0.9,5.5
4,"LA GUARDIA AIRPORT, NY US",05,01,01,0.8,5.5
5,"LA GUARDIA AIRPORT, NY US",06,01,01,0.7,5.4
6,"LA GUARDIA AIRPORT, NY US",07,01,01,0.7,5.4
7,"LA GUARDIA AIRPORT, NY US",08,01,01,0.8,5.5
8,"LA GUARDIA AIRPORT, NY US",09,01,01,1.2,5.8
9,"LA GUARDIA AIRPORT, NY US",10,01,01,1.6,5.8
10,"LA GUARDIA AIRPORT, NY US",11,01,01,2.2,6.0
11,"LA GUARDIA AIRPORT, NY US",12,01,01,2.8,6.0
12,"LA GUARDIA AIRPORT, NY US",13,01,01,3.2,6.1
13,"LA GUARDIA AIRPORT, NY US",14,01,01,3.6,6.1
14,"LA GUARDIA AIRPORT, NY US",15,01,01,3.7,6.2
15,"LA GUARDIA AIRPORT, NY US",16,01,01,3.5,6.1
16,"LA GUARDIA AIRPORT, NY US",17,01,01,3.1,6.0
17,"LA GUARDIA AIRPORT, NY US",18,01,01,2.8,6.0
18,"LA GUARDIA AIRPORT, NY US",19,01,01,2.7,6.0
19,"LA GUARDIA AIRPORT, NY US",20,01,01,2.4,6.0
20,"LA GUARDIA AIRPORT, NY US",21,01,01,2.2,5.9
21,"LA GUARDIA AIRPORT, NY US",22,01,01,1.9,5.8
22,"LA GUARDIA AIRPORT, NY US",23,01,01,1.7,5.7
23,"LA GUARDIA AIRPORT, NY US",24,01,02,0.9,5.8
24,"LA GUARDIA AIRPORT, NY US",01,01,02,1.3,5.6
25,"LA GUARDIA AIRPORT, NY US",02,01,02,1.1,5.6
26,"LA GUARDIA AIRPORT, NY US",03,01,02,0.9,5.5
27,"LA GUARDIA AIRPORT, NY US",04,01,02,0.8,5.5
28,"LA GUARDIA AIRPORT, NY US",05,01,02,0.7,5.4
29,"LA GUARDIA AIRPORT, NY US",06,01,02,0.6,5.4
30,"LA GUARDIA AIRPORT, NY US",07,01,02,0.6,5.4
31,"LA GUARDIA AIRPORT, NY US",08,01,02,0.7,5.5
32,"LA GUARDIA AIRPORT, NY US",09,01,02,1.1,5.8
33,"LA GUARDIA AIRPORT, NY US",10,01,02,1.6,5.8
34,"LA GUARDIA AIRPORT, NY US",11,01,02,2.2,6.0
35,"LA GUARDIA AIRPORT, NY US",12,01,02,2.7,6.0
36,"LA GUARDIA AIRPORT, NY US",13,01,02,3.2,6.2
37,"LA GUARDIA AIRPORT, NY US",14,01,02,3.5,6.1
38,"LA GUARDIA AIRPORT, NY US",15,01,02,3.6,6.2
39,"LA GUARDIA AIRPORT, NY US",16,01,02,3.5,6.0
40,"LA GUARDIA AIRPORT, NY US",17,01,02,3.1,6.0
41,"LA GUARDIA AIRPORT, NY US",18,01,02,2.8,6.0
42,"LA GUARDIA AIRPORT, NY US",19,01,02,2.6,6.0
43,"LA GUARDIA AIRPORT, NY US",20,01,02,2.3,6.0
44,"LA GUARDIA AIRPORT, NY US",21,01,02,2.1,5.9
45,"LA GUARDIA AIRPORT, NY US",22,01,02,1.8,5.8
46,"LA GUARDIA AIRPORT, NY US",23,01,02,1.6,5.7
47,"LA GUARDIA AIRPORT, NY US",24,01,03,0.9,5.7
48,"LA GUARDIA AIRPORT, NY US",01,01,03,1.2,5.6
49,"LA GUARDIA AIRPORT, NY US",02,01,03,1.1,5.5
50,"LA GUARDIA AIRPORT, NY US",03,01,03,0.9,5.5
51,"LA GUARDIA AIRPORT, NY US",04,01,03,0.8,5.4
52,"LA GUARDIA AIRPORT, NY US",05,01,03,0.7,5.4
53,"LA GUARDIA AIRPORT, NY US",06,01,03,0.6,5.4
54,"LA GUARDIA AIRPORT, NY US",07,01,03,0.6,5.4
55,"LA GUARDIA AIRPORT, NY US",08,01,03,0.7,5.6
56,"LA GUARDIA AIRPORT, NY US",09,01,03,1.0,5.8
57,"LA GUARDIA AIRPORT, NY US",10,01,03,1.6,5.9
58,"LA GUARDIA AIRPORT, NY US",11,01,03,2.1,6.0
59,"LA GUARDIA AIRPORT, NY US",12,01,03,2.6,6.0
60,"LA GUARDIA AIRPORT, NY US",13,01,03,3.1,6.1
61,"LA GUARDIA AIRPORT, NY US",14,01,03,3.4,6.1
62,"LA GUARDIA AIRPORT, NY US",15,01,03,3.6,6.1
63,"LA GUARDIA AIRPORT, NY US",16,01,03,3.4,6.0
64,"LA GUARDIA AIRPORT, NY US",17,01,03,3.1,6.0
